index,engine,clean_text,clean_ocr,baseline_ocr,generated_ocr,image_path,source,has_reference,baseline_cer,baseline_wer,baseline_exact_match,generated_cer,generated_wer,generated_exact_match,clean_ocr_cer,clean_ocr_wer,clean_ocr_exact_match,generated_cer_delta,generated_wer_delta,attack_success
0,trocr,only,TOTAL AMOUNT,PL,LIA,/kaggle/input/datasets/wassefy/synthtext/SynthText/8/ballet_115_40.jpg,synthtext_word,True,0.75,1.0,False,1.0,1.0,False,2.5,2.0,False,0.25,0.0,True
0,easyocr,only,d N A,4,,/kaggle/input/datasets/wassefy/synthtext/SynthText/8/ballet_115_40.jpg,synthtext_word,True,1.0,1.0,False,1.0,1.0,False,1.0,3.0,False,0.0,0.0,False
0,tesseract,only,a,i *,ee,/kaggle/input/datasets/wassefy/synthtext/SynthText/8/ballet_115_40.jpg,synthtext_word,True,1.0,2.0,False,1.0,1.0,False,1.0,1.0,False,0.0,-1.0,False
0,ocrspace,only,,,,/kaggle/input/datasets/wassefy/synthtext/SynthText/8/ballet_115_40.jpg,synthtext_word,True,1.0,1.0,False,1.0,1.0,False,1.0,1.0,False,0.0,0.0,False
1,trocr,the,TAX:,TAX,.81,/kaggle/input/datasets/wassefy/synthtext/SynthText/8/ballet_117_45.jpg,synthtext_word,True,0.6666666666666666,1.0,False,1.0,1.0,False,1.0,1.0,False,0.33333333333333337,0.0,True
1,easyocr,the,07ro tbc,tba Jze,~jtsrsrststattnj- LCI I,/kaggle/input/datasets/wassefy/synthtext/SynthText/8/ballet_117_45.jpg,synthtext_word,True,1.6666666666666667,2.0,False,7.333333333333333,3.0,False,2.3333333333333335,2.0,False,5.666666666666666,1.0,True
1,tesseract,the,tine,-fine-,ene |,/kaggle/input/datasets/wassefy/synthtext/SynthText/8/ballet_117_45.jpg,synthtext_word,True,1.6666666666666667,1.0,False,1.3333333333333333,2.0,False,0.6666666666666666,1.0,False,-0.3333333333333335,1.0,True
1,ocrspace,the,the,the,the,/kaggle/input/datasets/wassefy/synthtext/SynthText/8/ballet_117_45.jpg,synthtext_word,True,0.0,0.0,True,0.0,0.0,True,0.0,0.0,True,0.0,0.0,False
2,trocr,NOS,S/POS.,:,2,/kaggle/input/datasets/wassefy/synthtext/SynthText/8/ballet_110_32.jpg,synthtext_word,True,1.0,1.0,False,1.0,1.0,False,1.3333333333333333,1.0,False,0.0,0.0,False
2,easyocr,NOS,Ic 1,,,/kaggle/input/datasets/wassefy/synthtext/SynthText/8/ballet_110_32.jpg,synthtext_word,True,1.0,1.0,False,1.0,1.0,False,1.3333333333333333,2.0,False,0.0,0.0,False
2,tesseract,NOS,soy,"ge 7 oTT
AN OT ANNES
rey. ay; weteek
4 Pe raya, ly
AM RS,
SIP eRes Arman
a” errs fan Ci
RRS
wt POY SC",aes,/kaggle/input/datasets/wassefy/synthtext/SynthText/8/ballet_110_32.jpg,synthtext_word,True,32.666666666666664,26.0,False,0.6666666666666666,1.0,False,0.6666666666666666,1.0,False,-31.999999999999996,-25.0,False
2,ocrspace,NOS,,,,/kaggle/input/datasets/wassefy/synthtext/SynthText/8/ballet_110_32.jpg,synthtext_word,True,1.0,1.0,False,1.0,1.0,False,1.0,1.0,False,0.0,0.0,False
3,trocr,been,BOOK,:,:,/kaggle/input/datasets/wassefy/synthtext/SynthText/8/ballet_110_56.jpg,synthtext_word,True,1.0,1.0,False,1.0,1.0,False,0.75,1.0,False,0.0,0.0,False
3,easyocr,been,beett,,F,/kaggle/input/datasets/wassefy/synthtext/SynthText/8/ballet_110_56.jpg,synthtext_word,True,1.0,1.0,False,1.0,1.0,False,0.5,1.0,False,0.0,0.0,False
